[2025-07-29 15:05:43,696: INFO/MainProcess] Scheduler: Sending due task send-parking-reminders (main.send_parking_reminders)
[2025-07-29 15:05:43,701: INFO/MainProcess] Scheduler: Sending due task monthly-mail-report-test (main.generate_monthly_activity_report)
[2025-07-29 15:05:43,709: INFO/MainProcess] Scheduler: Sending due task cleanup-expired-reservations (main.cleanup_expired_reservations)
[2025-07-29 15:05:43,711: INFO/MainProcess] Scheduler: Sending due task daily-mail-reminder-test (main.send_daily_reminders)
[2025-07-29 15:05:43,715: INFO/MainProcess] Scheduler: Sending due task daily-test-reminder (main.send_test_daily_reminders)
[2025-07-29 15:06:03,779: INFO/MainProcess] Scheduler: Sending due task optimize-parking-allocation (main.optimize_parking_allocation)
[2025-07-29 15:06:03,784: INFO/MainProcess] Scheduler: Sending due task generate-daily-report (main.generate_daily_report)
[2025-07-29 15:06:03,789: INFO/MainProcess] Scheduler: Sending due task send-parking-reminders (main.send_parking_reminders)
[2025-07-29 15:06:03,793: INFO/MainProcess] Scheduler: Sending due task monthly-mail-report-test (main.generate_monthly_activity_report)
[2025-07-29 15:06:03,798: INFO/MainProcess] Scheduler: Sending due task cleanup-expired-reservations (main.cleanup_expired_reservations)
[2025-07-29 15:06:03,803: INFO/MainProcess] Scheduler: Sending due task daily-mail-reminder-test (main.send_daily_reminders)
[2025-07-29 15:06:03,808: INFO/MainProcess] Scheduler: Sending due task daily-test-reminder (main.send_test_daily_reminders)
[2025-07-29 15:06:23,868: INFO/MainProcess] Scheduler: Sending due task optimize-parking-allocation (main.optimize_parking_allocation)
[2025-07-29 15:06:23,875: INFO/MainProcess] Scheduler: Sending due task generate-daily-report (main.generate_daily_report)
[2025-07-29 15:06:23,878: INFO/MainProcess] Scheduler: Sending due task send-parking-reminders (main.send_parking_reminders)
[2025-07-29 15:06:23,884: INFO/MainProcess] Scheduler: Sending due task monthly-mail-report-test (main.generate_monthly_activity_report)
[2025-07-29 15:06:23,894: INFO/MainProcess] Scheduler: Sending due task cleanup-expired-reservations (main.cleanup_expired_reservations)
[2025-07-29 15:06:23,897: INFO/MainProcess] Scheduler: Sending due task daily-mail-reminder-test (main.send_daily_reminders)
